SpecimenID,ShortID,SiteName,MicrositeID,Family,Genus,Species,SppCode,Epithey,Collector,Date.collected,Vegetative.Height,Canopy.W1,Canopy.W2,Max.Height,SA.Leaf1,SA.Leaf2,SA.Leaf3,Stem.Volume,Stem.Biomass,SSD,Biomass.Leaf1,Biomass.Leaf2,Biomass.Leaf3,SLA.Leaf1,SLA.Leaf2,SLA.Leaf3,Root.Biomass,Root.Length,Root.AvgDiam,Root.Volume,SRL,RTD,Soil.pH,pH.Temp,pH.SoilWeight,CN.sampleID,N.shoot,C.shoot,N.root,C.root,flag,Notes,,,,,,,
Matth-1-HesCom-4-BA,18-034,Mat,1,Hesperostipa,Hesperostipa,Hesperostipa comata,Hes com,Hescom,1,18-Jun-18,24,10,6,50.5,1.1,2,0.8,0.5,34.835,69.67,6.525,13.845,4.015,168.582376,144.456483,199.252802,17.445,48.1075,0.3409,0.044,2757.66695,396.477273,NA,NA,NA,34,1.64,43.63,0.53,50.18,,,,,,,,,
Matth-1-HesCom-5-BA,18-035,Mat,1,Hesperostipa,Hesperostipa,Hesperostipa comata,Hes com,Hescom,1,18-Jun-18,22,9,4.5,47,1.1,1.5,0.7,0.5,38.33,76.66,5.435,7.83,3.625,202.391904,191.570881,193.103448,9.585,48.3676,0.2919,0.032,5046.17632,299.53125,NA,NA,NA,35,2,45.18,0.72,52.05,,,,,,,,,
Oyen-1-AveHoo-1-BA,18-036,Oyen,1,Poaceae,Avenula,Avenula hookeri,Ave hoo,Helhoo,1,04-Jul-18,37,11,8.5,46,2.9,4.8,4.8,0.1,30.39,303.9,18.005,35.155,32.87,161.066371,136.538188,146.029814,20.22,166.8839,0.1752,0.04,8253.40752,505.5,6.68,19.8,NA,36,NA,NA,0.44,49.62,NA,,,,,,,,
Oyen-1-AveHoo-2-BA,18-037,Oyen,1,Poaceae,Avenula,Avenula hookeri,Ave hoo,Helhoo,1,04-Jul-18,32,19,19,47,3.7,3.6,2.2,0.1,35.485,354.85,21.3,18.905,12.18,173.70892,190.425813,180.623974,12.905,71.3296,0.2182,0.027,5527.284,477.962963,5.79,19.9,NA,37,NA,NA,0.48,56.34,NA,,,,,,,,
Oyen-1-AveHoo-3-BA,18-038,Oyen,1,Poaceae,Avenula,Avenula hookeri,Ave hoo,Helhoo,1,04-Jul-18,29.5,26,19,42,2.8,3.8,4.3,0.2,28.12,140.6,14.595,17.12,23.15,191.846523,221.962617,185.74514,24.575,238.2452,0.2059,0.079,9694.61648,311.075949,5.65,20.6,NA,38,NA,NA,0.51,43.92,NA,,,,,,,,
Oyen-1-AveHoo-4-BA,18-039,Oyen,1,Poaceae,Avenula,Avenula hookeri,Ave hoo,Helhoo,1,04-Jul-18,30,19,10,32.5,4,4,4.3,0.1,29.695,296.95,25.29,24.775,26.24,158.165283,161.453078,163.871951,6.115,82.8698,0.2026,0.027,13551.8888,226.481482,6.33,18.8,NA,39,NA,NA,0.54,57.1,NA,,,,,,,,
Oyen-1-AveHoo-5-BA,18-040,Oyen,1,Poaceae,Avenula,Avenula hookeri,Ave hoo,Helhoo,1,04-Jul-18,28.5,22,14,39,3.1,3.1,1.4,0.2,43.14,215.7,15.26,16.065,7.385,203.145478,192.966075,189.57346,28.75,239.2181,0.1729,0.056,8320.62957,513.392857,6.69,20.6,NA,40,NA,NA,0.54,43.92,NA,,,,,,,,
Oyen-1-HesCur-1-BA,18-041,Oyen,1,Poaceae,Hesperostipa,Hesperostipa curtiseta,Hes cur,Sticur,1,04-Jul-18,28.5,15,5,41.5,2,1,2.9,0.5,55.81,111.62,12.63,6.395,21.575,158.353128,156.372166,134.414832,36.68,183.6306,0.2359,0.08,5006.28681,458.5,6.06,19.9,NA,41,1.33,44.06,0.54,43.19,,,,,,,,,
Oyen-1-HesCur-2-BA,18-042,Oyen,1,Poaceae,Hesperostipa,Hesperostipa curtiseta,Hes cur,Sticur,1,04-Jul-18,28,20,8,51,1.8,3.1,2,0.5,64.455,128.91,13.415,21.685,11.395,134.178159,142.95596,175.515577,41.275,163.9957,0.2834,0.103,3973.24531,400.728155,6.26,20.2,NA,42,1.55,44.55,0.67,43.78,,,,,,,,,
Oyen-1-HesCur-3-BA,18-043,Oyen,1,Poaceae,Hesperostipa,Hesperostipa curtiseta,Hes cur,Sticur,1,04-Jul-18,25,22,19.5,47,2.5,3.6,3.3,0.5,78.71,157.42,16.525,23.08,26.93,151.28593,155.979203,122.539918,48.385,234.2375,0.2691,0.133,4841.11812,363.796993,6.01,20.3,NA,43,1.9,43.88,0.6,44.09,,,,,,,,,
Oyen-1-HesCur-4-BA,18-044,Oyen,1,Poaceae,Hesperostipa,Hesperostipa curtiseta,Hes cur,Sticur,1,04-Jul-18,31.5,29.5,19,48,1.9,1.7,2.2,0.5,52.65,105.3,11.885,9.945,13.715,159.865377,170.940171,160.408312,40.015,176.6647,0.2457,0.084,4414.96189,476.369048,6.67,20,NA,44,1.58,44.85,0.51,45.58,,,,,,,,,
Oyen-1-HesCur-5-BA,18-045,Oyen,1,Poaceae,Hesperostipa,Hesperostipa curtiseta,Hes cur,Sticur,1,04-Jul-18,29,23,16,55,2.8,2,3.7,0.5,78.815,157.63,19.275,12.405,26.39,145.265889,161.225312,140.204623,42.31,213.5369,0.2618,0.115,5046.96053,367.913044,6.52,20.2,NA,45,1.52,44.11,0.57,44.29,,,,,,,,,
Kin-1-AchMil-1-CB,18-046,Kin,1,Asteraceae,Achillea,Achillea millefolium,Ach mil,Achmil,2,05-Jul-18,30.8,9.4,5.8,37,5.9,3.2,6.3,1,157.015,157.015,24.38,28.895,24.78,242.001641,110.745804,254.237288,122,201.5935,0.3787,0.227,1652.40574,537.444934,6.13,19.2,NA,46,2.43,44.58,0.91,46.68,,,,,,,,,
Kin-2-AchMil-2-CBMD,18-047,Kin,2,Asteraceae,Achillea,Achillea millefolium,Ach mil,Achmil,4,06-Jul-18,55.6,11.6,12.6,56.4,10.5,6.3,2.9,1,221.44,221.44,82.04,60.705,35.535,127.986348,103.780578,81.6096806,364,415.4908,0.3803,0.472,1141.45824,771.186441,6.47,19.1,NA,47,1.97,42.46,0.8,44.01,,,,,,,,,
Kin-3-AchMil-3-CBMD,18-048,Kin,3,Asteraceae,Achillea,Achillea millefolium,Ach mil,Achmil,4,07-Jul-18,29.1,8.6,3.9,31.3,0.4,1,1.8,0.2,48.78,243.9,5.865,13.385,22.425,68.2011935,74.7104968,80.2675585,250.3,215.8314,0.4791,0.389,862.290851,643.44473,6.15,20.8,NA,48,1.61,43.68,0.68,44.63,,,,,,,,,
Kin-3-AchMil-4-CBMD,18-049,Kin,3,Asteraceae,Achillea,Achillea millefolium,Ach mil,Achmil,4,07-Jul-18,41.3,8.5,5,46,2.7,2.1,5.7,0.4,129.69,324.225,30.28,21.165,65.485,89.1677675,99.2204111,87.0428342,203,166.9472,0.4298,0.242,822.4,838.842975,5.94,20.8,NA,49,2.01,42.98,0.99,44.03,,,,,,,,,
Kin-4-AgrSca-1-CBMD,18-050,Kin,4,Poaceae,Agrostis,Agrostis scabra,Agr sca,Agrsca,4,08-Jul-18,10.9,2.5,2.6,13.5,0.3,0.3,0.3,0.2,5.145,25.725,1.435,1.505,1.425,209.059233,199.335548,210.526316,22,309.7059,0.1329,0.043,14077.5409,511.627907,7.05,20.1,NA,50,1.95,43.32,0.83,47.3,,,,,,,,,
Kin-5-AgrSca-2-CBMD,18-051,Kin,5,Poaceae,Agrostis,Agrostis scabra,Agr sca,Agrsca,4,08-Jul-18,33,7,0.5,34.9,0.7,0.1,0.4,0.2,9.65,48.25,4.465,4.595,1.95,156.774916,21.7627856,205.128205,27,293.4822,0.1446,0.048,10869.7111,562.5,6.45,19.8,NA,51,1.44,41.86,1.07,43.05,,,,,,,,,
Kin-1-AgrSca-3-CBMD,18-052,Kin,1,Poaceae,Agrostis,Agrostis scabra,Agr sca,Agrsca,4,08-Jul-18,33.1,0.5,0.5,49.1,1.4,0.2,0.8,0.2,21.715,108.575,7.155,1.145,4.35,195.667366,174.672489,183.908046,28,228.0664,0.1581,0.045,8145.22857,622.222222,6.15,20.4,NA,52,1.45,44.69,0.91,45.68,,,,,,,,,
Kin-2-AmeAln-1-CBMD,18-053,Kin,2,Rosaceae,Amelanchier,Amelanchier alnifolia,Ame aln,Amealn,4,,63.1,24.4,19.1,63.1,7.2,6.7,4.4,4,2315.14,578.785,63.85,53.575,32.905,112.764291,125.058329,133.71828,NA,23.1616,0.3358,0.021,NA,NA,6.02,22.4,NA,53,2.03,47.42,0.47,55.27,,,,,,,,,
Kin-4-AmeAln-2-CBMD,18-054,Kin,4,Rosaceae,Amelanchier,Amelanchier alnifolia,Ame aln,Amealn,4,08-Jul-18,74.9,40.5,37.9,74.9,6.8,10.4,6.6,15,8704.945,580.329667,58.27,93.81,55.29,116.698129,110.862381,119.370591,81,48.9331,0.4655,0.083,604.112346,975.903615,5.65,20.5,NA,54,2.25,48.83,0.57,51.44,,,,,,,,,
Kin-4-AmeAln-3-CBMD,18-055,Kin,4,Rosaceae,Amelanchier,Amelanchier alnifolia,Ame aln,Amealn,4,08-Jul-18,70.2,6.4,25.9,70.2,2.9,5.9,6.4,5,2207.52,441.504,28.705,58.125,314.805,101.027696,101.505376,20.3300456,55,30.7993,0.5151,0.064,559.987273,859.375,6.63,22.5,NA,55,2.89,48.08,0.84,49.44,,,,,,,,,
Kin-2-AneCyl-1-CBMD,18-056,Kin,2,Ranunculaceae,Anemone,Anemone cylindrica,Ane cyl,Anecyl,4,06-Jul-18,22.5,24,9.5,27,5.5,15,5.4,1,129.335,129.335,36.68,62.11,27.76,149.945474,241.507004,194.524496,393,224.3444,0.4399,0.341,570.850891,1152.49267,5.8,22.2,NA,56,2.18,44.4,1.57,45.26,,,,,,,,,
Kin-3-AntNeg-1-CBMD,18-057,Kin,3,Asteraceae,Antennaria,Antennaria neglecta,Ant neg,Antneg,4,07-Jul-18,2.4,4.7,2.5,2.4,0.7,0.3,0.7,NA,NA,NA,3.9,1.27,4.02,179.48718,236.220472,174.129353,7.905,36.272,0.2815,0.023,4588.4883,343.695652,6.35,19.1,NA,57,0.98,42.42,0.84,55.4,,,,,,,,,
Kin-3-AntNeg-2-CBMD,18-058,Kin,3,Asteraceae,Antennaria,Antennaria neglecta,Ant neg,Antneg,4,,2.6,2.8,2.1,2.6,0.5,0.4,0.7,NA,NA,NA,2.745,1.355,3.14,182.149363,295.202952,222.929936,13.7,NA,NA,NA,NA,NA,6.74,20,NA,58,NA,NA,0.88,47.28,NA,,,,,,,,
Kin-1-AntPar-1-CB,18-059,Kin,1,Asteraceae,Antennaria,Antennaria parvifolia,Ant par,Antmic,2,05-Jul-18,2.5,3.4,3,17.4,0.4,0.2,NA,0.05,28.665,573.3,1.615,0.785,NA,247.678019,254.77707,NA,37,87.7524,0.3253,0.073,2371.68649,506.849315,5.58,23.1,NA,59,1.85,44.67,1.07,47.31,,"Dryer environment, shallow soil; No 3rd leaf",,,,,,,
Kin-3-AntPar-2-CBMD,18-060,Kin,3,Asteraceae,Antennaria,Antennaria parvifolia,Ant par,Antmic,4,07-Jul-18,15.3,2.2,1.9,17.2,0.3,0.3,0.1,0.2,22.735,113.675,2.515,2.165,1.27,119.284294,138.568129,78.7401575,42,73.7383,0.5304,0.163,1755.67381,257.668712,6.79,18.7,NA,60,NA,NA,0.96,44.91,NA,,,,,,,,
Kin-4-AntPar-3-CBMD,18-061,Kin,4,Asteraceae,Antennaria,Antennaria parvifolia,Ant par,Antmic,4,08-Jul-18,2.6,3.7,3.3,13.5,0.3,0.4,0.3,0.1,12.78,127.8,1.32,1.195,1.1,227.272727,334.728034,272.727273,86,141.7383,0.4383,0.214,1648.11977,401.869159,6.45,21.6,NA,61,1.62,44.47,1.11,48.19,,,,,,,,,
Kin-1-AraDiv-1-CB,18-062,Kin,1,Brassicaceae,Arabis,Arabis divaricarpa,Ara div,Aradiv,2,05-Jul-18,28.4,2.9,2.6,33.2,1.2,1.7,NA,0.15,147.87,985.8,11.48,10.225,NA,104.529617,166.259169,NA,109.65,NA,NA,NA,NA,NA,6.15,22.1,NA,62,NA,NA,0.98,44.89,NA,No 3rd leaf,,,,,,,
Kin-3-AraHir-1-CBMD,18-063,Kin,3,Brassicaceae,Arabis,Arabis hirsuta,Ara hir,Arahir,4,07-Jul-18,35.1,1.5,1.5,51.4,1.1,1.5,0.8,0.2,128.72,643.6,5.28,7.585,3.48,208.333333,197.758734,229.885058,71,96.8119,0.4104,0.128,1363.54789,554.6875,6.04,20.5,NA,63,2.21,42.96,0.6,47.46,,,,,,,,,
Kin-1-ArtFri-1-CB,18-064,Kin,1,Asteraceae,Artemisia,Artemisia frigida,Art fri,Artfri,2,05-Jul-18,24.4,23.2,8.5,35.2,1.1,1.1,1,1,289.615,289.615,4.655,3.815,4.595,236.305048,288.335518,217.627856,NA,338.3158,0.3639,0.352,NA,NA,7.37,20.5,NA,64,2.12,45.72,0.74,48.34,,,,,,,,,
Kin-1-ArtFri-2-CB,18-065,Kin,1,Asteraceae,Artemisia,Artemisia frigida,Art fri,Artfri,2,06-Jul-18,13,29.5,15.4,13,0.4,0.3,0.4,0.2,47.7,238.5,2.255,1.735,3.375,177.383592,172.910663,118.518519,NA,655.528,0.294,0.445,NA,NA,6.88,20.2,NA,65,NA,NA,NA,NA,NA,,,,,,,,
Kin-2-ArtFri-3-CBMD,18-066,Kin,2,Asteraceae,Artemisia,Artemisia frigida,Art fri,Artfri,4,06-Jul-18,23.6,23.6,8.7,23.6,0.1,0.3,0.1,0.2,49.225,246.125,0.99,2.205,1.815,101.010101,136.054422,55.0964187,239,101.9184,0.6569,0.345,426.43682,692.753623,6.49,20.5,NA,66,2.27,46.78,0.73,47.8,F,,,,,,,,
Kin-3-ArtFri-4-CBMD,18-067,Kin,3,Asteraceae,Artemisia,Artemisia frigida,Art fri,Artfri,4,07-Jul-18,47,22.9,7.8,49.2,0.7,0.7,0.3,0.7,316,451.428571,3.1,3.4,1.63,225.806452,205.882353,184.04908,176,311.6002,0.3343,0.274,1770.45568,642.335766,5.86,20.6,NA,67,1.56,47.11,0.77,47.31,,,,,,,,,
