Community,Achmil ,Agrcri,Agrdas,Agrsca,Andsep,Antneg,Antmic,Aradiv,Artfri,Artlud,Astagr,Astfle,Bougra,Broine,Camrot,Carspp,Cerarv,Chealb,Cirarv,Cirvul,Collin,Comumb,Elacom,Elytra,Ericae,Erigla,Eryinc,Polcon,Feshal,Fravir,Gaiari,Galbor,Genama,Geuale,Geutri,Sticur,Koemac,Lactat,Stivir,Ortlut,Oxycam,Passmi,Pengra,Poaint,Poapra,Potcon,Potpen,Anepat,Rosark,Rubocc,Silvery.hairy.mustard,Sismon,Solmis,Sonarv,Astfal,Astlae,Taroff,Thaven,Therho,Tradub,Vicame,Vioadu,Weed.1
ANR 7,0.090909091,0,0.018181818,0.363636364,0.018181818,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0.018181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145454545,0,0,0,0.054545455,0,0.017857143,0,0.054545455,0,0.054545455,0.018181818,0,0,0.054545455,0.018181818,0,0,0
NNR2 7,0,0,0.009090909,0,0,0,0.009090909,0,0,0,0,0,0,0,0.009090909,0.090909091,0.009090909,0,0,0,0,0.009090909,0,0.072727273,0,0,0,0,0.072727273,0,0.027272727,0,0,0,0,0.090909091,0,0,0,0,0.136363636,0,0.027272727,0,0.181818182,0,0,0.045454545,0.027272727,0,0,0,0.072727273,0,0.045454545,0.009090909,0,0,0.045454545,0,0,0.009090909,0
ANR 11,0.029126214,0,0.009708738,0.077669903,0.009708738,0,0,0,0.194174757,0,0.009708738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048543689,0,0,0.009708738,0,0,0,0,0,0.009708738,0,0,0,0.388349515,0,0,0,0.029126214,0,0,0,0,0,0,0.029126214,0.009708738,0,0.097087379,0,0.048543689,0,0
NNR2 11,0,0,0,0,0,0,0,0,0,0.056338028,0.035211268,0.035211268,0,0,0,0.056338028,0.007042254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105633803,0,0,0,0.007042254,0,0.021126761,0,0,0.492957746,0.007042254,0.021126761,0,0.070422535,0,0,0,0.035211268,0,0.007042254,0,0.035211268,0,0,0,0.007042254,0,0
ANR 12,0,0.011363636,0,0,0,0,0,0,0,0.170454545,0,0,0,0,0,0.056818182,0,0,0,0,0,0,0,0.034090909,0,0,0,0,0,0,0,0.113636364,0,0,0.090909091,0,0,0,0,0,0.034090909,0,0,0,0.284090909,0,0,0,0.034090909,0,0,0,0.056818182,0,0,0,0.011363636,0,0.090909091,0.011363636,0,0,0
NNR2 12,0,0,0,0,0,0,0,0,0,0.091954023,0,0,0,0,0.011494253,0.091954023,0,0,0,0,0,0.057471264,0,0.114942529,0,0,0,0,0.034482759,0,0,0.034482759,0,0,0.091954023,0.091954023,0,0,0,0,0.114942529,0,0,0,0.172413793,0,0,0,0.057471264,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0,0
ANR 14,0.050505051,0,0,0.303030303,0,0,0,0,0,0.151515152,0.03030303,0,0,0,0.101010101,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0,0,0,0.050505051,0,0,0.050505051,0,0,0,0,0,0.03030303,0,0.01010101,0,0.03030303,0,0,0,0,0,0,0,0.101010101,0,0,0.050505051,0,0.01010101,0,0,0,0,0
NNR2 14,0.00877193,0,0,0,0,0.026315789,0,0,0,0.131578947,0.026315789,0,0,0,0.043859649,0.070175439,0,0,0,0,0,0.00877193,0,0.00877193,0,0,0,0,0.00877193,0,0,0.070175439,0.026315789,0,0,0.219298246,0.043859649,0,0,0,0,0,0,0.043859649,0.131578947,0,0,0,0.026315789,0,0,0.00877193,0.043859649,0,0.043859649,0,0.00877193,0,0,0,0,0,0
ANR 15,0.012820513,0,0,0.192307692,0.012820513,0,0,0,0,0.102564103,0,0.012820513,0,0,0.038461538,0,0.038461538,0,0,0,0.012820513,0,0.038461538,0,0,0.012820513,0,0,0,0,0,0.012820513,0,0,0,0,0,0,0.038461538,0.064102564,0.038461538,0,0,0,0.102564103,0,0,0,0.064102564,0,0,0.038461538,0.012820513,0.064102564,0,0,0.012820513,0,0,0.012820513,0.064102564,0,0
NNR2 15,0.037037037,0,0,0,0,0,0,0,0,0.061728395,0,0,0,0,0.012345679,0.12345679,0.012345679,0,0,0,0,0,0,0,0,0,0,0,0.185185185,0,0,0,0,0,0.061728395,0.185185185,0,0,0,0,0,0,0,0,0.12345679,0,0,0,0.061728395,0,0,0.012345679,0.037037037,0,0,0.037037037,0.012345679,0,0,0,0.037037037,0,0
ANR 16,0.032608696,0,0,0.217391304,0.010869565,0,0,0,0.010869565,0.086956522,0.032608696,0,0,0,0.010869565,0,0.010869565,0,0,0,0,0,0,0.108695652,0,0.010869565,0,0,0,0,0,0,0,0,0.054347826,0.054347826,0,0,0,0,0,0,0,0,0.108695652,0,0,0,0.086956522,0,0,0.086956522,0.010869565,0,0.010869565,0,0.010869565,0,0.010869565,0.032608696,0,0,0
NNR2 16,0.042016807,0,0,0,0,0,0,0,0,0.067226891,0.067226891,0,0,0,0,0.084033613,0.025210084,0,0,0,0,0,0,0.025210084,0,0,0,0,0.008403361,0,0,0,0,0,0.025210084,0.067226891,0,0,0,0.025210084,0,0,0,0,0.462184874,0,0,0,0.008403361,0,0,0,0.084033613,0,0.008403361,0,0,0,0,0,0,0,0
ANR 17,0.043103448,0,0,0.301724138,0,0,0,0,0.00862069,0.043103448,0.025862069,0,0,0,0.025862069,0.043103448,0.00862069,0,0,0,0,0,0,0.043103448,0,0.043103448,0.00862069,0,0.043103448,0,0,0.025862069,0.025862069,0,0.00862069,0.068965517,0,0.025862069,0,0,0,0,0,0,0.025862069,0,0,0,0,0.129310345,0,0,0,0,0.025862069,0.00862069,0.00862069,0,0,0,0.00862069,0,0
NNR2 17,0.053763441,0,0,0.053763441,0,0,0,0,0.010752688,0.053763441,0.032258065,0,0,0,0.010752688,0.107526882,0.010752688,0,0,0,0,0.010752688,0,0.086021505,0,0.032258065,0,0,0.032258065,0,0,0.032258065,0.032258065,0,0.032258065,0.053763441,0,0,0,0,0,0,0,0,0.215053763,0,0,0,0.010752688,0.032258065,0,0.010752688,0.010752688,0,0,0,0.010752688,0,0,0,0.032258065,0.032258065,0
